property_type,price,location,city,province_name,latitude,longitude,baths,area_sqft,purpose,bedrooms,year,month,day
House,17.77632374660947,Gulberg,Lahore,Punjab,31.495909,74.350569,6.0,8.602640345647105,For Sale,5.0,2019,6,4
House,18.757152987716434,Gulberg,Lahore,Punjab,31.522361,74.347172,0.0,9.010039498716473,For Sale,0.0,2019,6,4
Flat,16.759949589762293,Askari,Lahore,Punjab,31.498507,74.339025,4.0,7.9096767685629406,For Sale,3.0,2019,7,10
House,17.822843761378564,Gulberg,Lahore,Punjab,31.495909,74.350569,5.0,8.602640345647105,For Sale,5.0,2019,6,4
House,17.439851517607305,Gulberg,Lahore,Punjab,31.495909,74.350569,4.0,8.246043043863073,For Sale,4.0,2019,6,4
House,17.281246492014,Cricketer Villas,Lahore,Punjab,31.495427000000003,74.423858,7.0,8.864962800303461,For Sale,5.0,2019,5,3
House,16.118095750958314,Rehman Villas,Lahore,Punjab,31.484967,74.4104,3.0,6.993932975223281,For Sale,3.0,2019,5,3
House,17.61099976960838,DHA Defence,Lahore,Punjab,31.462493,74.40934200000001,6.0,8.602640345647105,For Sale,5.0,2019,6,26
House,16.012735246411598,Cantt,Lahore,Punjab,31.490127,74.418805,0.0,7.216893023463281,For Sale,3.0,2019,5,3
House,15.86963441986494,Cantt,Lahore,Punjab,31.490127,74.418805,0.0,7.066193895312845,For Sale,3.0,2019,5,3
House,17.312018149733785,State Life Housing Society,Lahore,Punjab,31.446824,74.404736,6.0,8.602640345647105,For Sale,5.0,2019,6,30
House,18.132998684833918,Garden Town,Lahore,Punjab,31.5078,74.318733,0.0,9.010039498716473,For Sale,0.0,2019,4,3
House,17.822843761378564,DHA Defence,Lahore,Punjab,31.466007,74.448338,0.0,8.602640345647105,For Sale,5.0,2019,6,18
House,17.32705602664604,Gulberg,Lahore,Punjab,31.495909,74.350569,4.0,8.246043043863073,For Sale,4.0,2019,6,2
House,18.938397268358436,Cantt,Lahore,Punjab,31.5288,74.39312,6.0,9.010039498716473,For Sale,5.0,2019,6,18
House,17.989897843244528,Cantt,Lahore,Punjab,31.5288,74.39312,6.0,8.602640345647105,For Sale,5.0,2019,6,18
House,15.694975760283178,Eden,Lahore,Punjab,31.470253000000003,74.21430600000001,2.0,6.993932975223281,For Sale,3.0,2019,6,18
House,17.75709238505144,Cantt,Lahore,Punjab,31.529092,74.382048,0.0,8.784930686497418,For Sale,0.0,2019,5,3
House,17.565014657424058,DHA Defence,Lahore,Punjab,31.462493,74.40934200000001,6.0,8.602640345647105,For Sale,5.0,2019,2,3
House,17.50188690692275,DHA Defence,Lahore,Punjab,31.462493,74.40934200000001,6.0,7.9096767685629406,For Sale,5.0,2019,7,2
House,16.642824239064897,Bahria Town,Lahore,Punjab,31.385627000000003,74.19681700000001,6.0,7.686625924195265,For Sale,5.0,2019,6,19
Flat,15.607270193858982,Faisal Town,Lahore,Punjab,31.478013,74.304285,3.0,7.216893023463281,For Sale,3.0,2019,3,5
House,15.789591722875162,Eden,Lahore,Punjab,31.381284,74.251868,2.0,7.216893023463281,For Sale,3.0,2019,4,3
Flat,16.489659276356317,Askari,Lahore,Punjab,31.498507,74.33903000000001,3.0,7.9096767685629406,For Sale,3.0,2019,6,2
House,16.257857680289998,Bahria Town,Lahore,Punjab,31.374249,74.176404,4.0,7.216893023463281,For Sale,3.0,2019,6,18
House,16.68340951682656,Bahria Town,Lahore,Punjab,31.364887,74.186554,6.0,7.9096767685629406,For Sale,5.0,2019,6,18
House,16.213405921671733,Harbanspura Road,Lahore,Punjab,31.560697555542003,74.42132568359399,4.0,7.399098344224535,For Sale,3.0,2019,7,3
House,15.424948670398354,Alfalah Town,Lahore,Punjab,31.482881,74.418933,4.0,6.5244869886311685,For Sale,3.0,2019,5,3
House,17.103912482794517,Punjab Govt Employees Society,Lahore,Punjab,31.420167,74.285746,6.0,8.602640345647105,For Sale,5.0,2019,6,4
House,17.50439003707821,EME Society,Lahore,Punjab,31.438916,74.211559,6.0,9.010039498716473,For Sale,5.0,2019,5,4
House,17.665658180950928,Valencia Housing Society,Lahore,Punjab,31.409546,74.258466,0.0,9.010039498716473,For Sale,0.0,2019,1,4
House,15.201805169084134,Ashiana-e-Quaid Housing Scheme,Lahore,Punjab,31.425257,74.383922,2.0,6.706556666418615,For Sale,2.0,2019,4,3
Lower Portion,14.978661680269907,Eden,Lahore,Punjab,31.470253000000003,74.21430600000001,1.0,6.706556666418615,For Sale,2.0,2019,6,19
House,17.308983246130737,DHA Defence,Lahore,Punjab,31.471571,74.44590600000001,5.0,7.9096767685629406,For Sale,4.0,2019,7,2
